;x11;x12;x13;x14;x21;x22;x31;x32;x33;y1;y2;y3
0.0000000e+000;1.2200000e+001;3.5000000e+002;0.0000000e+000;1.0000000e+002;3.5000000e+002;0.0000000e+000;3.5000000e+002;0.0000000e+000;1.0000000e+002;1.2700000e+001;4.7000000e+001;1.2200000e+001
1.0000000e+001;1.2199967e+001;7.5001690e+001;0.0000000e+000;5.5769643e+002;7.5001690e+001;0.0000000e+000;7.5001690e+001;0.0000000e+000;5.5769643e+002;1.2199969e+001;4.6984876e+001;1.2199967e+001
2.0000000e+001;1.2199929e+001;7.5000000e+001;0.0000000e+000;5.6580785e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.6580785e+002;1.2199930e+001;4.6973292e+001;1.2199929e+001
3.0000000e+001;1.2199892e+001;7.5000000e+001;0.0000000e+000;5.3062009e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.3062009e+002;1.2199893e+001;4.6961707e+001;1.2199892e+001
4.0000000e+001;1.2199858e+001;7.5000000e+001;0.0000000e+000;4.8450339e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;4.8450339e+002;1.2199859e+001;4.6950123e+001;1.2199858e+001
5.0000000e+001;1.2199826e+001;7.5000000e+001;0.0000000e+000;4.6985723e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;4.6985723e+002;1.2199827e+001;4.6938538e+001;1.2199826e+001
6.0000000e+001;1.2199790e+001;7.5000000e+001;0.0000000e+000;5.6199168e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.6199168e+002;1.2199791e+001;4.6926954e+001;1.2199790e+001
7.0000000e+001;1.2199750e+001;7.5000000e+001;0.0000000e+000;6.0937216e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;6.0937216e+002;1.2199751e+001;4.6915370e+001;1.2199750e+001
8.0000000e+001;1.2199708e+001;7.5000000e+001;0.0000000e+000;6.3027869e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;6.3027869e+002;1.2199709e+001;4.6903785e+001;1.2199708e+001
9.0000000e+001;1.2199666e+001;7.5000000e+001;0.0000000e+000;6.0549271e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;6.0549271e+002;1.2199667e+001;4.6892201e+001;1.2199666e+001
