;x11;x12;x13;x14;x21;x22;x31;x32;x33;y1;y2;y3
0.0000000e+000;1.2200000e+001;3.5000000e+002;0.0000000e+000;1.0000000e+002;3.5000000e+002;0.0000000e+000;3.5000000e+002;0.0000000e+000;1.0000000e+002;1.2700000e+001;4.7000000e+001;1.2200000e+001
1.0000000e+001;1.2200000e+001;7.5001690e+001;0.0000000e+000;5.5769643e+002;7.5001690e+001;0.0000000e+000;7.5001690e+001;0.0000000e+000;5.5769643e+002;1.2199969e+001;4.6984876e+001;1.2200000e+001
2.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;5.6580785e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.6580785e+002;1.2199930e+001;4.6973292e+001;1.2200000e+001
3.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;5.3062009e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.3062009e+002;1.2199893e+001;4.6961707e+001;1.2200000e+001
4.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;4.8450339e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;4.8450339e+002;1.2199859e+001;4.6950123e+001;1.2200000e+001
5.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;4.6985723e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;4.6985723e+002;1.2199827e+001;4.6938538e+001;1.2200000e+001
6.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;5.6199168e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.6199168e+002;1.2199791e+001;4.6926954e+001;1.2200000e+001
7.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;6.0937216e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;6.0937216e+002;1.2199751e+001;4.6915370e+001;1.2200000e+001
8.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;6.3027869e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;6.3027869e+002;1.2199709e+001;4.6903785e+001;1.2200000e+001
9.0000000e+001;1.2200000e+001;7.5000000e+001;0.0000000e+000;6.0549271e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;6.0549271e+002;1.2199667e+001;4.6892201e+001;1.2200000e+001
1.0000000e+002;1.2200000e+001;1.6036406e+002;0.0000000e+000;5.5780234e+002;1.6036406e+002;0.0000000e+000;1.6036406e+002;0.0000000e+000;5.5780234e+002;1.2199628e+001;4.6877422e+001;1.2200000e+001
1.1000000e+002;1.2200000e+001;2.0096087e+002;0.0000000e+000;5.0489157e+002;2.0096087e+002;0.0000000e+000;2.0096087e+002;0.0000000e+000;5.0489157e+002;1.2199593e+001;4.6848964e+001;1.2200000e+001
1.2000000e+002;1.2200000e+001;2.1565780e+002;0.0000000e+000;5.2367625e+002;2.1565780e+002;0.0000000e+000;2.1565780e+002;0.0000000e+000;5.2367625e+002;1.2199559e+001;4.6816603e+001;1.2200000e+001
1.3000000e+002;1.2200000e+001;3.6060047e+002;0.0000000e+000;5.7072479e+002;3.6060047e+002;0.0000000e+000;3.6060047e+002;0.0000000e+000;5.7072479e+002;1.2525715e+001;4.6773436e+001;1.2200000e+001
1.4000000e+002;1.2200000e+001;2.6022739e+002;0.0000000e+000;6.0277981e+002;2.6022739e+002;0.0000000e+000;2.6022739e+002;0.0000000e+000;6.0277981e+002;1.2498052e+001;4.6724227e+001;1.2200000e+001
1.5000000e+002;1.2200000e+001;2.7925866e+002;0.0000000e+000;5.9037006e+002;2.7925866e+002;0.0000000e+000;2.7925866e+002;0.0000000e+000;5.9037006e+002;1.2507104e+001;4.6682329e+001;1.2200000e+001
1.6000000e+002;1.2200000e+001;2.1516885e+002;0.0000000e+000;6.0294784e+002;2.1516885e+002;0.0000000e+000;2.1516885e+002;0.0000000e+000;6.0294784e+002;1.2496181e+001;4.6643339e+001;1.2200000e+001
1.7000000e+002;1.2200000e+001;2.9949942e+002;0.0000000e+000;5.6623049e+002;2.9949942e+002;0.0000000e+000;2.9949942e+002;0.0000000e+000;5.6623049e+002;1.2527588e+001;4.6604194e+001;1.2200000e+001
1.8000000e+002;1.2200000e+001;2.7271651e+002;0.0000000e+000;5.7201575e+002;2.7271651e+002;0.0000000e+000;2.7271651e+002;0.0000000e+000;5.7201575e+002;1.2524087e+001;4.6560332e+001;1.2200000e+001
1.9000000e+002;1.2200000e+001;3.1158095e+002;0.0000000e+000;6.1498731e+002;3.1158095e+002;0.0000000e+000;3.1158095e+002;0.0000000e+000;6.1498731e+002;1.2488892e+001;4.6515824e+001;1.2200000e+001
2.0000000e+002;1.2200000e+001;3.3847636e+002;0.0000000e+000;6.5563733e+002;3.3847636e+002;0.0000000e+000;3.3847636e+002;0.0000000e+000;6.5563733e+002;1.2454361e+001;4.6465290e+001;1.2200000e+001
2.1000000e+002;1.2200000e+001;3.4847104e+002;0.0000000e+000;5.8849092e+002;3.4847104e+002;0.0000000e+000;3.4847104e+002;0.0000000e+000;5.8849092e+002;1.2508993e+001;4.6412111e+001;1.2200000e+001
2.2000000e+002;1.2200000e+001;1.7445412e+002;0.0000000e+000;5.4886982e+002;1.7445412e+002;0.0000000e+000;1.7445412e+002;0.0000000e+000;5.4886982e+002;1.2200650e+001;4.6369889e+001;1.2200000e+001
2.3000000e+002;1.2200000e+001;7.5033218e+001;0.0000000e+000;5.0510339e+002;7.5033218e+001;0.0000000e+000;7.5033218e+001;0.0000000e+000;5.0510339e+002;1.2199496e+001;4.6353459e+001;1.2200000e+001
2.4000000e+002;1.2200000e+001;7.5000000e+001;0.0000000e+000;4.9742720e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;4.9742720e+002;1.2199463e+001;4.6341874e+001;1.2200000e+001
2.5000000e+002;1.2200000e+001;7.5000000e+001;0.0000000e+000;5.3289869e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.3289869e+002;1.2199428e+001;4.6330290e+001;1.2200000e+001
2.6000000e+002;1.2200000e+001;7.5000000e+001;0.0000000e+000;5.4714039e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.4714039e+002;1.2199393e+001;4.6318705e+001;1.2200000e+001
2.7000000e+002;1.2200000e+001;7.5000000e+001;0.0000000e+000;5.6138268e+002;7.5000000e+001;0.0000000e+000;7.5000000e+001;0.0000000e+000;5.6138268e+002;1.2199355e+001;4.6307121e+001;1.2200000e+001
2.8000000e+002;1.2200000e+001;2.5670827e+002;0.0000000e+000;5.3076766e+002;2.5670827e+002;0.0000000e+000;2.5670827e+002;0.0000000e+000;5.3076766e+002;1.2555873e+001;4.6283618e+001;1.2200000e+001
